timestamp,open,high,low,close,volume,numtrades,vwap
2019-03-15T08:00:00Z,1706,1711,1706,1711,1497,61,1707.697582
2019-03-15T08:15:00Z,1708.67,1708.67,1708.67,1708.67,230,4,1708.561217
2019-03-15T09:00:00Z,1709.24,1709.24,1709.11,1709.11,605,7,1709.173884
2019-03-15T09:15:00Z,1708,1708,1708,1708,200,1,1708
2019-03-15T09:30:00Z,1708,1708,1707.98,1707.98,201,3,1707.987413
2019-03-15T09:45:00Z,1708.99,1709,1708.99,1709,351,9,1708.572564
2019-03-15T10:45:00Z,1710,1710.05,1710,1710.05,2487,42,1710.077845
2019-03-15T11:00:00Z,1710.11,1710.11,1704.92,1707.2,12965,266,1707.023213
2019-03-15T11:15:00Z,1707.26,1709.55,1707.26,1709.05,3258,56,1708.635344
2019-03-15T11:30:00Z,1709.21,1709.21,1706.16,1706.79,5161,114,1707.727717
2019-03-15T11:45:00Z,1706.21,1706.49,1705.56,1706.02,3826,93,1706.10075
2019-03-15T12:00:00Z,1708.9993,1710,1703,1703,16868,388,1706.320021
2019-03-15T12:15:00Z,1703.56,1705,1703.55,1703.55,2592,87,1704.304902
2019-03-15T12:30:00Z,1704.2,1705.99,1702.8,1702.8,11518,276,1704.265971
2019-03-15T12:45:00Z,1702.4,1703.99,1701.5,1703.8945,11605,316,1702.991851
2019-03-15T13:00:00Z,1703.9399,1703.9399,1700,1702.5,13277,422,1701.721399
2019-03-15T13:15:00Z,1701.5,1705,1700.56,1703.01,20900,429,1703.297642
2019-03-15T13:30:00Z,1703,1706.22,1698.3101,1705.09,1672163,10083,1702.878617
2019-03-15T13:45:00Z,1705.09,1705.465,1699.89,1704.295,297886,6521,1703.541015
2019-03-15T14:00:00Z,1704.06,1704.935,1698.75,1700.9,194805,4897,1701.524119
2019-03-15T14:15:00Z,1700.81,1702.4,1698.43,1700.99,141281,3418,1700.547569
2019-03-15T14:30:00Z,1701,1702.94,1695.55,1697.25,172685,3905,1699.310362
2019-03-15T14:45:00Z,1697.51,1697.9,1693.13,1697.02,135518,3309,1695.449279
2019-03-15T15:00:00Z,1696.74,1699.8599,1696.092,1698.9777,97921,2264,1697.819153
2019-03-15T15:15:00Z,1698.9702,1701.3625,1698.9702,1699.79,117867,2867,1700.451482
2019-03-15T15:30:00Z,1699.7,1700.75,1699.13,1700.2224,62846,1952,1699.901627
2019-03-15T15:45:00Z,1700.5,1702.07,1699.47,1701.68,96450,2600,1701.094511
2019-03-15T16:00:00Z,1701.09,1706,1700.76,1705.959,342982,7099,1703.334574
2019-03-15T16:15:00Z,1705.9004,1707,1704.92,1705.96,166937,4280,1706.296177
2019-03-15T16:30:00Z,1706.31,1706.62,1704.59,1706.39,123196,2940,1705.499466
2019-03-15T16:45:00Z,1706.36,1707.22,1703.15,1703.31,132111,3368,1705.49181
2019-03-15T17:00:00Z,1703.36,1707,1703.36,1705.94,119523,3219,1705.871982
2019-03-15T17:15:00Z,1706.0986,1706.91,1705,1706.42,102056,2760,1705.575403
2019-03-15T17:30:00Z,1706.04,1712.17,1706.04,1711.93,301439,8109,1709.77481
2019-03-15T17:45:00Z,1711.92,1715.23,1711.78,1714.575,208351,5718,1713.763171
2019-03-15T18:00:00Z,1714.46,1718.75,1713.21,1716.6035,211430,5365,1716.127443
