timestamp,open,high,low,close,volume,numtrades,vwap
2023-02-17T14:15:00Z,367.11,367.11,365,365,1702,27,365.763466
2023-02-17T14:30:00Z,364.06,366.7,363.2234,364.195,218477,2602,364.574503
2023-02-17T14:45:00Z,364.18,364.18,362.2801,363.39,116769,2727,363.233112
2023-02-17T15:00:00Z,363.33,364.74,363.04,364.15,77477,2126,364.063404
2023-02-17T15:15:00Z,364.32,364.885,364.015,364.26,47163,1523,364.434302
2023-02-17T15:30:00Z,363.92,365.13,363.23,363.23,53930,1535,364.307895
2023-02-17T15:45:00Z,363.08,363.3,362.28,362.443,62960,1832,362.835113
2023-02-17T16:00:00Z,362.36,362.36,361.41,361.655,81255,2166,361.965145
2023-02-17T16:15:00Z,361.64,362.01,360.68,361.18,81901,2041,361.248405
2023-02-17T16:30:00Z,361.12,362.2,360.54,361.865,76238,1844,361.354148
2023-02-17T16:45:00Z,361.86,362.115,361.54,361.8593,43526,1293,361.791575
2023-02-17T17:00:00Z,361.95,362.07,361.39,361.39,64068,1505,361.930672
2023-02-17T17:15:00Z,361.5,361.73,361,361.34,63867,1625,361.405382
2023-02-17T17:30:00Z,361.31,361.63,360.5827,360.65,49690,1278,361.139746
2023-02-17T17:45:00Z,360.645,360.76,359.8,360.27,51349,1659,360.283018
2023-02-17T18:00:00Z,360.21,361.38,359.99,361.125,52413,1275,360.564068
2023-02-17T18:15:00Z,361.18,361.45,360.08,360.38,33634,906,360.75959
2023-02-17T18:30:00Z,360.355,361.19,360.17,360.91,47323,1053,360.719361
2023-02-17T18:45:00Z,360.95,361.26,360.905,361.095,37545,979,361.076455
2023-02-17T19:00:00Z,361.15,361.27,360.42,360.45,57850,1400,361.056893
2023-02-17T19:15:00Z,360.49,361.04,360.28,360.79,98679,2137,360.657816
2023-02-17T19:30:00Z,360.84,361.67,360.84,360.92,57395,1685,361.280309
2023-02-17T19:45:00Z,360.95,361.35,360.84,361.01,94204,2101,361.098918
2023-02-17T20:00:00Z,360.95,361.16,360.59,360.79,84015,1936,360.883988
2023-02-17T20:15:00Z,360.85,361.05,360.5,360.66,68299,1779,360.794504
2023-02-17T20:30:00Z,360.595,361.27,360.51,361.01,107289,2648,360.932519
2023-02-17T20:45:00Z,360.9769,361.16,360.05,361.15,414552,8952,360.545431
2023-02-17T21:00:00Z,361.13,363.77,361.13,361.13,353532,86,361.132558
2023-02-17T21:15:00Z,361.13,361.13,361.13,361.13,7253,26,361.130848
2023-02-21T13:00:00Z,357.5,357.5,357.5,357.5,134,4,357.558078
2023-02-21T13:15:00Z,356.7798,356.7798,356.7798,356.7798,190,1,356.7798
2023-02-21T14:15:00Z,356.01,356.01,356.01,356.01,444,28,356.056396
2023-02-21T14:30:00Z,356.76,361.54,355.81,361.385,183269,3666,358.606423
2023-02-21T14:45:00Z,361.31,361.77,360.24,361.235,148884,2580,361.044388
2023-02-21T15:00:00Z,361.08,361.58,359.95,360.31,108667,2431,360.772528
2023-02-21T15:15:00Z,360.36,361.14,360.08,360.57,85476,2085,360.633708
2023-02-21T15:30:00Z,360.69,360.75,358.485,358.485,85870,2216,359.418298
2023-02-21T15:45:00Z,358.48,358.71,357.59,358.645,89101,2190,358.20261
2023-02-21T16:00:00Z,358.645,359.15,357.67,357.77,85547,2002,358.344102
2023-02-21T16:15:00Z,357.78,358.535,357.45,357.78,73642,1898,357.987438
2023-02-21T16:30:00Z,357.65,357.98,357.01,357.66,63626,1569,357.460546
2023-02-21T16:45:00Z,357.75,357.95,357.22,357.41,53319,1599,357.574939
2023-02-21T17:00:00Z,357.33,357.66,357.01,357.1,53828,1431,357.304054
2023-02-21T17:15:00Z,357.09,357.615,356.66,357.45,48278,1401,357.246798
2023-02-21T17:30:00Z,357.56,357.76,357.14,357.48,45418,1236,357.496176
2023-02-21T17:45:00Z,357.41,357.58,357.11,357.57,40148,1140,357.377253
2023-02-21T18:00:00Z,357.51,357.76,356.8587,357.01,60393,1543,357.323454
2023-02-21T18:15:00Z,357.07,357.42,356.75,357.11,45049,1268,357.056361
2023-02-21T18:30:00Z,357,357.08,356.1,356.69,45852,1466,356.612373
2023-02-21T18:45:00Z,356.61,356.98,356.3,356.5226,45329,1221,356.62475
2023-02-21T19:00:00Z,356.5,356.725,355.71,355.71,57411,1557,356.290178
2023-02-21T19:15:00Z,355.765,356.16,355.35,356.16,48052,1392,355.710413
2023-02-21T19:30:00Z,356.11,356.5684,355.85,356.19,55317,1606,356.232288
2023-02-21T19:45:00Z,356.2,356.43,355.955,356,56925,1483,356.190334
2023-02-21T20:00:00Z,356,356.5,355.47,355.765,64568,1890,355.988056
2023-02-21T20:15:00Z,355.74,356.01,355.38,355.795,78994,2066,355.677441
2023-02-21T20:30:00Z,355.84,356.295,355.39,355.71,107671,2861,355.863351
2023-02-21T20:45:00Z,355.8,356.2,355.19,355.98,397167,8721,355.689972
2023-02-21T21:00:00Z,355.96,355.96,355.96,355.96,491621,69,355.959985
2023-02-21T21:45:00Z,356.5,356.5,356.29,356.45,2379,28,356.488903
2023-02-21T23:30:00Z,356.96,356.96,356.96,356.96,120,2,356.96
2023-02-22T00:30:00Z,356.65,356.65,356.65,356.65,279,3,356.677706
2023-02-22T13:00:00Z,357,357,357,357,400,4,356.994575
2023-02-22T13:45:00Z,356.75,356.75,356.75,356.75,257,7,356.839494
2023-02-22T14:30:00Z,355.36,357.74,355.02,356.925,131183,2560,356.293555
2023-02-22T14:45:00Z,356.98,357.2399,354.66,354.89,84209,2288,355.734889
2023-02-22T15:00:00Z,354.89,355.85,353.89,354.21,78476,2166,354.894198
2023-02-22T15:15:00Z,354.14,355.86,353.81,354.93,59446,1848,354.791054
2023-02-22T15:30:00Z,354.695,354.87,353.57,354.45,66420,1711,354.23507
2023-02-22T15:45:00Z,354.64,356.015,354.55,355.92,46420,1364,355.347437
2023-02-22T16:00:00Z,355.935,356.0599,354.9,355.01,54648,1575,355.683729
