Market Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Opening Time,Closing Time
2019-03-01 05:00:00+00:00,107.2656488196448,107.38916941321412,106.10642990559565,106.923583984375,23501200,0.0,0.0,MSFT,2019-03-01 14:30:00+00:00,2019-03-01 21:00:00+00:00
2019-03-04 05:00:00+00:00,107.389176068664,107.60772032390877,105.2797857861527,106.66704559326172,26608000,0.0,0.0,MSFT,2019-03-04 14:30:00+00:00,2019-03-04 21:00:00+00:00
2019-03-05 05:00:00+00:00,106.65754220312056,106.79056662013474,105.68836327211928,106.13494110107422,19538300,0.0,0.0,MSFT,2019-03-05 14:30:00+00:00,2019-03-05 21:00:00+00:00
2019-03-06 05:00:00+00:00,106.29648101026189,107.04712296300828,105.87840011271012,106.18245697021484,17687000,0.0,0.0,MSFT,2019-03-06 14:30:00+00:00,2019-03-06 21:00:00+00:00
2019-03-07 05:00:00+00:00,105.84988771043666,105.99241593712604,104.39611574663596,104.89020538330078,25339000,0.0,0.0,MSFT,2019-03-07 14:30:00+00:00,2019-03-07 21:00:00+00:00
2019-03-08 05:00:00+00:00,103.72147964009535,105.19425183915584,103.37941482950244,105.00421905517578,22818400,0.0,0.0,MSFT,2019-03-08 14:30:00+00:00,2019-03-08 21:00:00+00:00
2019-03-11 04:00:00+00:00,105.46030135138145,107.32265019429812,105.45080478661826,107.20863342285156,26491600,0.0,0.0,MSFT,2019-03-11 13:30:00+00:00,2019-03-11 20:00:00+00:00
2019-03-12 04:00:00+00:00,107.19912108340552,108.31082801231348,107.03759250384498,107.95926666259766,26132700,0.0,0.0,MSFT,2019-03-12 13:30:00+00:00,2019-03-12 20:00:00+00:00
2019-03-13 04:00:00+00:00,108.443864406512,109.27052227170186,108.11130339728147,108.7954330444336,35513800,0.0,0.0,MSFT,2019-03-13 13:30:00+00:00,2019-03-13 20:00:00+00:00
2019-03-14 04:00:00+00:00,108.8334387262002,109.46055272316082,108.63390212492702,108.88094329833984,30763400,0.0,0.0,MSFT,2019-03-14 13:30:00+00:00,2019-03-14 20:00:00+00:00
2019-03-15 04:00:00+00:00,109.59360694507866,111.40845172793834,108.88097292549696,110.13521575927734,54681100,0.0,0.0,MSFT,2019-03-15 13:30:00+00:00,2019-03-15 20:00:00+00:00
