,Date,Ticker,Sector,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_tot,Open,High,Low,Close,Volume
45,2019-05-25,MSFT,Technology,0.,0.,0.,0.,121.034,121.52,120.137,120.395,14123400.0
46,2019-05-28,MSFT,Technology,0.,0.,0.,0.,121.100,122.073,120.213,120.318,23128400.0
47,2019-05-29,MSFT,Technology,0.073,0.073,0.073,0.073,119.574,119.584,118.296,119.155,22763100.0
48,2019-05-30,MSFT,Technology,0.04533,0.04533,0.04533,0.04533,119.46,119.937,119.002,119.908,16829600.0
49,2019-05-31,MSFT,Technology,0.,0.,0.,0.,118.478,118.85,117.61,117.953,26646800.0
50,2019-06-01,MSFT,Technology,0.,0.,0.,0.,118.478,118.85,117.61,117.953,26646800.0
51,2019-06-03,MSFT,Technology,0.0845,0.0845,0.0845,0.0845,118.115,118.611,113.499,114.291,37983600.0
52,2019-06-05,MSFT,Technology,0.064,0.064,0.064,0.064,119.164,120.042,118.459,120.004,24926100.0
53,2019-06-07,MSFT,Technology,0.,0.,0.,0.,123.208,126.126,122.321,125.316,33885600.0
54,2019-06-08,MSFT,Technology,0.104,0.104,0.104,0.104,123.208,126.126,122.321,125.316,33885600.0
55,2019-06-09,MSFT,Technology,0.02271,0.02271,0.02271,0.02271,123.208,126.126,122.321,125.316,33885600.0
56,2019-06-10,MSFT,Technology,0.01975,0.01975,0.01975,0.01975,126.269,127.872,125.888,126.460,26477100.0
57,2019-06-11,MSFT,Technology,0.02129,0.02129,0.02129,0.02129,127.681,128.024,125.201,125.983,23913700.0
58,2019-06-12,MSFT,Technology,0.0484,0.0484,0.0484,0.0484,125.316,125.859,124.658,125.401,17092500.0
59,2019-06-13,MSFT,Technology,0.113,0.113,0.113,0.113,125.869,126.842,125.468,126.193,17200800.0
60,2019-06-14,MSFT,Technology,0.0695,0.0695,0.0695,0.0695,126.136,127.595,125.545,126.317,17821700.0
61,2019-06-15,MSFT,Technology,0.,0.,0.,0.,126.136,127.595,125.545,126.317,17821700.0
