Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-01 00:00:00-05:00,107.26564881964481,107.38916941321413,106.10642990559563,106.923583984375,23501200,0.0,0.0
2019-03-04 00:00:00-05:00,107.389176068664,107.60772032390877,105.2797857861527,106.66704559326172,26608000,0.0,0.0
2019-03-05 00:00:00-05:00,106.65754220312057,106.79056662013474,105.68836327211928,106.13494110107422,19538300,0.0,0.0
2019-03-06 00:00:00-05:00,106.29648101026187,107.04712296300829,105.87840011271011,106.18245697021484,17687000,0.0,0.0
2019-03-07 00:00:00-05:00,105.84988771043666,105.99241593712603,104.39611574663596,104.89020538330078,25339000,0.0,0.0
2019-03-08 00:00:00-05:00,103.72147964009535,105.19425183915583,103.37941482950244,105.00421905517578,22818400,0.0,0.0
2019-03-11 00:00:00-04:00,105.46030135138143,107.32265019429812,105.45080478661826,107.20863342285156,26491600,0.0,0.0
2019-03-12 00:00:00-04:00,107.19912108340552,108.31082801231348,107.03759250384498,107.95926666259766,26132700,0.0,0.0
2019-03-13 00:00:00-04:00,108.443864406512,109.27052227170186,108.11130339728147,108.7954330444336,35513800,0.0,0.0
2019-03-14 00:00:00-04:00,108.83343872620021,109.46055272316082,108.63390212492702,108.88094329833984,30763400,0.0,0.0
2019-03-15 00:00:00-04:00,109.59360694507866,111.40845172793834,108.88097292549696,110.13521575927734,54681100,0.0,0.0
2019-03-18 00:00:00-04:00,110.38221229788115,111.75047138113956,110.26819554046641,111.71246337890625,31207600,0.0,0.0
2019-03-19 00:00:00-04:00,112.20657152014313,112.53913978252363,111.16137665786745,111.78849792480469,37588700,0.0,0.0
2019-03-20 00:00:00-04:00,111.54144980682105,112.83369310357118,110.89532815844598,111.66497039794922,28113300,0.0,0.0
2019-03-21 00:00:00-04:00,111.30389471521735,114.80055143925222,111.25638289656199,114.2304458618164,29854400,0.0,0.0
2019-03-22 00:00:00-04:00,113.54631795196161,113.63183052766571,111.20887997533343,111.2183837890625,33624500,0.0,0.0
2019-03-25 00:00:00-04:00,110.75280201628685,112.13056517065704,110.52476120943082,111.79800415039062,27067100,0.0,0.0
